N,S1,S2,relDifer
48801,11.3729,11.3727,1.45435e-05
48901,11.3749,11.3748,1.06096e-05
49001,11.3769,11.3768,7.03335e-06
49101,11.3789,11.3789,3.93391e-06
49201,11.3809,11.3809,1.07288e-06
49301,11.3829,11.3829,1.3113e-06
49401,11.3849,11.385,3.33786e-06
49501,11.3869,11.387,5.126e-06
49601,11.3889,11.389,6.4373e-06
49701,11.3909,11.391,7.45058e-06
49801,11.3929,11.393,8.10623e-06
49901,11.3949,11.395,8.34465e-06
50001,11.3969,11.397,8.28505e-06
50101,11.3989,11.399,7.86781e-06
50201,11.4009,11.401,7.03335e-06
50301,11.403,11.403,6.02007e-06
50401,11.405,11.405,4.52995e-06
50501,11.407,11.407,2.74181e-06
50601,11.409,11.409,6.55651e-07
50701,11.411,11.4109,1.90735e-06
50801,11.413,11.4129,4.76837e-06
50901,11.415,11.4149,7.86781e-06
51001,11.417,11.4168,1.14441e-05
51101,11.419,11.4188,1.52588e-05
51201,11.4209,11.4208,1.51396e-05
51301,11.4228,11.4227,1.13249e-05
51401,11.4247,11.4247,7.86781e-06
51501,11.4266,11.4266,4.76837e-06
51601,11.4286,11.4285,1.78814e-06
51701,11.4305,11.4305,6.55651e-07
51801,11.4324,11.4324,2.86102e-06
51901,11.4343,11.4343,4.76837e-06
52001,11.4362,11.4363,6.31809e-06
52101,11.4381,11.4382,7.51019e-06
52201,11.44,11.4401,8.40425e-06
52301,11.4419,11.442,9.0003e-06
52401,11.4438,11.4439,9.23872e-06
52501,11.4457,11.4458,9.17912e-06
52601,11.4476,11.4477,8.82149e-06
52701,11.4495,11.4496,8.10623e-06
52801,11.4514,11.4515,7.09295e-06
52901,11.4534,11.4534,5.72205e-06
53001,11.4553,11.4553,4.05312e-06
53101,11.4572,11.4572,2.14577e-06
53201,11.4591,11.4591,1.19209e-07
53301,11.461,11.4609,2.6226e-06
53401,11.4629,11.4628,5.60284e-06
53501,11.4648,11.4647,8.82149e-06
53601,11.4667,11.4666,1.22786e-05
53701,11.4686,11.4684,1.60933e-05
53801,11.4705,11.4703,1.77622e-05
53901,11.4723,11.4721,1.39475e-05
54001,11.4741,11.474,1.0252e-05
54101,11.4759,11.4758,6.91414e-06
54201,11.4777,11.4777,3.93391e-06
54301,11.4796,11.4795,1.19209e-06
54401,11.4814,11.4814,1.2517e-06
54501,11.4832,11.4832,3.39746e-06
54601,11.485,11.485,5.24521e-06
54701,11.4868,11.4869,6.73532e-06
54801,11.4886,11.4887,7.86781e-06
54901,11.4904,11.4905,8.9407e-06
55001,11.4922,11.4923,9.71556e-06
55101,11.494,11.4942,1.00136e-05
55201,11.4959,11.496,1.01328e-05
55301,11.4977,11.4978,9.95398e-06
55401,11.4995,11.4996,9.47714e-06
55501,11.5013,11.5014,8.70228e-06
55601,11.5031,11.5032,7.689e-06
55701,11.5049,11.505,6.3777e-06
55801,11.5067,11.5068,4.70877e-06
55901,11.5085,11.5086,2.80142e-06
56001,11.5104,11.5104,7.7486e-07
56101,11.5122,11.5121,1.66893e-06
56201,11.514,11.5139,4.41074e-06
56301,11.5158,11.5157,7.39098e-06
56401,11.5176,11.5175,1.04904e-05
56501,11.5194,11.5193,1.39475e-05
56601,11.5212,11.521,1.80006e-05
56701,11.523,11.5228,2.02656e-05
56801,11.5247,11.5245,1.63317e-05
56901,11.5265,11.5263,1.26362e-05
57001,11.5282,11.5281,9.29832e-06
57101,11.5299,11.5298,6.07967e-06
57201,11.5316,11.5316,3.09944e-06
57301,11.5333,11.5333,7.15256e-07
57401,11.535,11.5351,1.72853e-06
57501,11.5367,11.5368,3.8147e-06
57601,11.5385,11.5385,5.60284e-06
57701,11.5402,11.5403,7.21216e-06
57801,11.5419,11.542,8.58307e-06
57901,11.5436,11.5437,9.47714e-06
58001,11.5453,11.5455,1.0252e-05
58101,11.547,11.5472,1.09076e-05
58201,11.5488,11.5489,1.10865e-05
58301,11.5505,11.5506,1.10865e-05
58401,11.5522,11.5523,1.07884e-05
58501,11.5539,11.554,1.0252e-05
58601,11.5556,11.5557,9.41753e-06
58701,11.5573,11.5574,8.52346e-06
58801,11.5591,11.5591,7.27177e-06
58901,11.5608,11.5608,5.78165e-06
59001,11.5625,11.5625,4.05312e-06
59101,11.5642,11.5642,1.96695e-06
59201,11.5659,11.5659,2.38419e-07
59301,11.5676,11.5676,2.6226e-06
59401,11.5694,11.5693,5.48363e-06
59501,11.5711,11.571,8.58307e-06
59601,11.5728,11.5727,1.16825e-05
59701,11.5745,11.5743,1.52588e-05
59801,11.5762,11.576,1.88351e-05
59901,11.5779,11.5777,2.28882e-05
60001,11.5796,11.5794,2.01464e-05
60101,11.5812,11.581,1.63317e-05
60201,11.5828,11.5827,1.28746e-05
60301,11.5844,11.5843,9.53674e-06
60401,11.5861,11.586,6.4373e-06
60501,11.5877,11.5877,3.57628e-06
60601,11.5893,11.5893,9.53674e-07
60701,11.5909,11.591,1.37091e-06
60801,11.5926,11.5926,3.51667e-06
60901,11.5942,11.5942,5.48363e-06
61001,11.5958,11.5959,7.15256e-06
61101,11.5974,11.5975,8.52346e-06
61201,11.599,11.5992,9.77516e-06
